"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","TOT","AGRWTH","M","2014-12",1.007326,
"AUT","CPI","TOT","AGRWTH","M","2015-01",0.7386888,
"AUT","CPI","TOT","AGRWTH","M","2015-02",0.8589376,
"AUT","CPI","TOT","AGRWTH","M","2015-03",0.9571964,
"AUT","CPI","TOT","AGRWTH","M","2015-04",1.066896,
"AUT","CPI","TOT","AGRWTH","M","2015-05",0.9924396,
"AUT","CPI","TOT","AGRWTH","M","2015-06",1.00121,
"AUT","CPI","TOT","AGRWTH","M","2015-07",1.150444,
"AUT","CPI","TOT","AGRWTH","M","2015-08",0.9483453,
"AUT","CPI","TOT","AGRWTH","M","2015-09",0.7087427,
"AUT","CPI","TOT","AGRWTH","M","2015-10",0.6997142,
"AUT","CPI","TOT","AGRWTH","M","2015-11",0.6174383,
"AUT","CPI","TOT","AGRWTH","M","2015-12",1.018704,
"AUT","CPI","TOT","AGRWTH","M","2016-01",1.217039,
"AUT","CPI","TOT","AGRWTH","M","2016-02",1.011122,
"AUT","CPI","TOT","AGRWTH","M","2016-03",0.7,
"AUT","CPI","TOT","AGRWTH","M","2016-04",0.499002,
"AUT","CPI","TOT","AGRWTH","M","2016-05",0.5976096,
"AUT","CPI","TOT","AGRWTH","M","2016-06",0.5970149,
"AUT","CPI","TOT","AGRWTH","M","2016-07",0.5994006,
"AUT","CPI","TOT","AGRWTH","M","2016-08",0.6006006,
"AUT","CPI","TOT","AGRWTH","M","2016-09",0.8973081,
"AUT","CPI","TOT","AGRWTH","M","2016-10",1.297405,
"AUT","CPI","TOT","AGRWTH","M","2016-11",1.296112,
"AUT","CPI","TOT","AGRWTH","M","2016-12",1.390268,
"AUT","CPI","TOT","AGRWTH","M","2017-01",2.004008,
"AUT","CPI","TOT","AGRWTH","M","2017-02",2.202202,
"AUT","CPI","TOT","AGRWTH","M","2017-03",1.886792,
"AUT","CPI","TOT","AGRWTH","M","2017-04",2.085402,
"AUT","CPI","TOT","AGRWTH","M","2017-05",1.881188,
"AUT","CPI","TOT","AGRWTH","M","2017-06",1.879327,
"AUT","CPI","TOT","AGRWTH","M","2017-07",1.986097,
"AUT","CPI","TOT","AGRWTH","M","2017-08",2.089552,
"AUT","CPI","TOT","AGRWTH","M","2017-09",2.371542,
"AUT","CPI","TOT","AGRWTH","M","2017-10",2.167488,
"AUT","CPI","TOT","AGRWTH","M","2017-11",2.26378,
"AUT","CPI","TOT","AGRWTH","M","2017-12",2.15475,
"AUT","CPI","TOT","AGRWTH","M","2018-01",1.768173,
"AUT","CPI","TOT","AGRWTH","M","2018-02",1.762977,
"AUT","CPI","TOT","AGRWTH","M","2018-03",1.851852,
"AUT","CPI","TOT","AGRWTH","M","2018-04",1.848249,
"AUT","CPI","TOT","AGRWTH","M","2018-05",1.943635,
"AUT","CPI","TOT","AGRWTH","M","2018-06",2.038835,
"AUT","CPI","TOT","AGRWTH","M","2018-07",2.142162,
"AUT","CPI","TOT","AGRWTH","M","2018-08",2.241715,
"AUT","CPI","TOT","AGRWTH","M","2018-09",2.027027,
"AUT","CPI","TOT","AGRWTH","M","2018-10",2.217936,
"AUT","CPI","TOT","AGRWTH","M","2018-11",2.213667,
"AUT","CPI","TOT","AGRWTH","M","2018-12",1.917546,
"AUT","CPI","TOT","AGRWTH","M","2019-01",1.833977,
"AUT","CPI","TOT","AGRWTH","M","2019-02",1.539942,
"AUT","CPI","TOT","AGRWTH","M","2019-03",1.818182,
"AUT","CPI","TOT","AGRWTH","M","2019-04",1.719198,
"AUT","CPI","TOT","AGRWTH","M","2019-05",1.71592,
"AUT","CPI","TOT","AGRWTH","M","2019-06",1.617507,
"AUT","CPI","TOT","AGRWTH","M","2019-07",1.429933,
"BEL","CPI","TOT","AGRWTH","M","2003-02",1.745668,
"BEL","CPI","TOT","AGRWTH","M","2003-03",1.753717,
"BEL","CPI","TOT","AGRWTH","M","2003-04",1.473764,
"BEL","CPI","TOT","AGRWTH","M","2003-05",1.040213,
"BEL","CPI","TOT","AGRWTH","M","2003-06",1.615571,
"BEL","CPI","TOT","AGRWTH","M","2003-07",1.470775,
"BEL","CPI","TOT","AGRWTH","M","2003-08",1.788432,
"BEL","CPI","TOT","AGRWTH","M","2003-09",1.796104,
"BEL","CPI","TOT","AGRWTH","M","2003-10",1.58288,
"BEL","CPI","TOT","AGRWTH","M","2003-11",1.850209,
"BEL","CPI","TOT","AGRWTH","M","2003-12",1.735276,
"BEL","CPI","TOT","AGRWTH","M","2004-01",1.588903,
"BEL","CPI","TOT","AGRWTH","M","2004-02",1.264872,
"BEL","CPI","TOT","AGRWTH","M","2004-03",1.124017,
"BEL","CPI","TOT","AGRWTH","M","2004-04",1.928133,
"BEL","CPI","TOT","AGRWTH","M","2004-05",2.59887,
"BEL","CPI","TOT","AGRWTH","M","2004-06",2.25338,
"BEL","CPI","TOT","AGRWTH","M","2004-07",2.411596,
"BEL","CPI","TOT","AGRWTH","M","2004-08",2.255452,
"BEL","CPI","TOT","AGRWTH","M","2004-09",2.037773,
"BEL","CPI","TOT","AGRWTH","M","2004-10",2.867115,
"BEL","CPI","TOT","AGRWTH","M","2004-11",2.550703,
"BEL","CPI","TOT","AGRWTH","M","2004-12",2.278386,
"BEL","CPI","TOT","AGRWTH","M","2005-01",2.259186,
"BEL","CPI","TOT","AGRWTH","M","2005-02",2.55998,
"BEL","CPI","TOT","AGRWTH","M","2005-03",3.075213,
"BEL","CPI","TOT","AGRWTH","M","2005-04",2.751505,
"BEL","CPI","TOT","AGRWTH","M","2005-05",2.520803,
"BEL","CPI","TOT","AGRWTH","M","2005-06",2.877081,
"BEL","CPI","TOT","AGRWTH","M","2005-07",3.135676,
"BEL","CPI","TOT","AGRWTH","M","2005-08",3.119668,
"BEL","CPI","TOT","AGRWTH","M","2005-09",3.153921,
"BEL","CPI","TOT","AGRWTH","M","2005-10",2.472128,
"BEL","CPI","TOT","AGRWTH","M","2005-11",2.560058,
"BEL","CPI","TOT","AGRWTH","M","2005-12",2.884967,
"BEL","CPI","TOT","AGRWTH","M","2006-01",2.621996,
"BEL","CPI","TOT","AGRWTH","M","2006-02",2.387556,
"BEL","CPI","TOT","AGRWTH","M","2006-03",1.701414,
"BEL","CPI","TOT","AGRWTH","M","2006-04",1.96055,
"BEL","CPI","TOT","AGRWTH","M","2006-05",2.184292,
"BEL","CPI","TOT","AGRWTH","M","2006-06",1.86838,
"BEL","CPI","TOT","AGRWTH","M","2006-07",1.608896,
"BEL","CPI","TOT","AGRWTH","M","2006-08",1.63082,
"BEL","CPI","TOT","AGRWTH","M","2006-09",1.227718,
"BEL","CPI","TOT","AGRWTH","M","2006-10",1.206244,
"BEL","CPI","TOT","AGRWTH","M","2006-11",1.490595,
"BEL","CPI","TOT","AGRWTH","M","2006-12",1.644581,
"BEL","CPI","TOT","AGRWTH","M","2007-01",1.66785,
"BEL","CPI","TOT","AGRWTH","M","2007-02",1.766576,
"BEL","CPI","TOT","AGRWTH","M","2007-03",1.814326,
"BEL","CPI","TOT","AGRWTH","M","2007-04",1.782155,
"BEL","CPI","TOT","AGRWTH","M","2007-05",1.284897,
"BEL","CPI","TOT","AGRWTH","M","2007-06",1.285047,
"BEL","CPI","TOT","AGRWTH","M","2007-07",1.37385,
"BEL","CPI","TOT","AGRWTH","M","2007-08",1.116279,
"BEL","CPI","TOT","AGRWTH","M","2007-09",1.504373,
"BEL","CPI","TOT","AGRWTH","M","2007-10",2.243515,
"BEL","CPI","TOT","AGRWTH","M","2007-11",2.949062,
"BEL","CPI","TOT","AGRWTH","M","2007-12",3.084623,
"BEL","CPI","TOT","AGRWTH","M","2008-01",3.455497,
"BEL","CPI","TOT","AGRWTH","M","2008-02",3.645411,
"BEL","CPI","TOT","AGRWTH","M","2008-03",4.385559,
"BEL","CPI","TOT","AGRWTH","M","2008-04",4.158507,
"BEL","CPI","TOT","AGRWTH","M","2008-05",5.212778,
"BEL","CPI","TOT","AGRWTH","M","2008-06",5.801615,
"BEL","CPI","TOT","AGRWTH","M","2008-07",5.903296,
"BEL","CPI","TOT","AGRWTH","M","2008-08",5.393284,
"BEL","CPI","TOT","AGRWTH","M","2008-09",5.46875,
"BEL","CPI","TOT","AGRWTH","M","2008-10",4.72,
"BEL","CPI","TOT","AGRWTH","M","2008-11",3.136322,
"BEL","CPI","TOT","AGRWTH","M","2008-12",2.630985,
"BEL","CPI","TOT","AGRWTH","M","2009-01",2.316689,
"BEL","CPI","TOT","AGRWTH","M","2009-02",1.931666,
"BEL","CPI","TOT","AGRWTH","M","2009-03",0.6207737,
"BEL","CPI","TOT","AGRWTH","M","2009-04",0.597213,
"BEL","CPI","TOT","AGRWTH","M","2009-05",-0.3726844,
"BEL","CPI","TOT","AGRWTH","M","2009-06",-1.101057,
"BEL","CPI","TOT","AGRWTH","M","2009-07",-1.680946,
"BEL","CPI","TOT","AGRWTH","M","2009-08",-0.7746863,
"BEL","CPI","TOT","AGRWTH","M","2009-09",-1.198257,
"BEL","CPI","TOT","AGRWTH","M","2009-10",-0.9712976,
"BEL","CPI","TOT","AGRWTH","M","2009-11",-0.1207597,
"BEL","CPI","TOT","AGRWTH","M","2009-12",0.2640555,
"BEL","CPI","TOT","AGRWTH","M","2010-01",0.6155199,
"BEL","CPI","TOT","AGRWTH","M","2010-02",0.7010626,
"BEL","CPI","TOT","AGRWTH","M","2010-03",1.652528,
"BEL","CPI","TOT","AGRWTH","M","2010-04",1.791996,
"BEL","CPI","TOT","AGRWTH","M","2010-05",2.277478,
"BEL","CPI","TOT","AGRWTH","M","2010-06",2.458113,
"BEL","CPI","TOT","AGRWTH","M","2010-07",2.570042,
"BEL","CPI","TOT","AGRWTH","M","2010-08",2.320211,
"BEL","CPI","TOT","AGRWTH","M","2010-09",2.910695,
"BEL","CPI","TOT","AGRWTH","M","2010-10",3.008596,
"BEL","CPI","TOT","AGRWTH","M","2010-11",2.868762,
"BEL","CPI","TOT","AGRWTH","M","2010-12",3.105454,
"BEL","CPI","TOT","AGRWTH","M","2011-01",3.222635,
"BEL","CPI","TOT","AGRWTH","M","2011-02",3.383009,
"BEL","CPI","TOT","AGRWTH","M","2011-03",3.522272,
"BEL","CPI","TOT","AGRWTH","M","2011-04",3.412896,
"BEL","CPI","TOT","AGRWTH","M","2011-05",3.345525,
"BEL","CPI","TOT","AGRWTH","M","2011-06",3.679398,
"BEL","CPI","TOT","AGRWTH","M","2011-07",3.753092,
"BEL","CPI","TOT","AGRWTH","M","2011-08",3.600215,
"BEL","CPI","TOT","AGRWTH","M","2011-09",3.556889,
"BEL","CPI","TOT","AGRWTH","M","2011-10",3.573339,
"BEL","CPI","TOT","AGRWTH","M","2011-11",3.846565,
"BEL","CPI","TOT","AGRWTH","M","2011-12",3.480204,
"BEL","CPI","TOT","AGRWTH","M","2012-01",3.65118,
"BEL","CPI","TOT","AGRWTH","M","2012-02",3.661616,
"BEL","CPI","TOT","AGRWTH","M","2012-03",3.360553,
"BEL","CPI","TOT","AGRWTH","M","2012-04",3.185379,
"BEL","CPI","TOT","AGRWTH","M","2012-05",2.810451,
"BEL","CPI","TOT","AGRWTH","M","2012-06",2.251738,
"BEL","CPI","TOT","AGRWTH","M","2012-07",2.321725,
"BEL","CPI","TOT","AGRWTH","M","2012-08",2.852697,
"BEL","CPI","TOT","AGRWTH","M","2012-09",2.751914,
"BEL","CPI","TOT","AGRWTH","M","2012-10",2.778639,
"BEL","CPI","TOT","AGRWTH","M","2012-11",2.263607,
"BEL","CPI","TOT","AGRWTH","M","2012-12",2.231822,
"BEL","CPI","TOT","AGRWTH","M","2013-01",1.460078,
"BEL","CPI","TOT","AGRWTH","M","2013-02",1.187576,
"BEL","CPI","TOT","AGRWTH","M","2013-03",1.11415,
"BEL","CPI","TOT","AGRWTH","M","2013-04",1.002024,
"BEL","CPI","TOT","AGRWTH","M","2013-05",1.18457,
"BEL","CPI","TOT","AGRWTH","M","2013-06",1.593262,
"BEL","CPI","TOT","AGRWTH","M","2013-07",1.509319,
"BEL","CPI","TOT","AGRWTH","M","2013-08",1.008573,
"BEL","CPI","TOT","AGRWTH","M","2013-09",0.8960934,
"BEL","CPI","TOT","AGRWTH","M","2013-10",0.6331658,
"BEL","CPI","TOT","AGRWTH","M","2013-11",0.8149713,
"BEL","CPI","TOT","AGRWTH","M","2013-12",0.9657947,
"BEL","CPI","TOT","AGRWTH","M","2014-01",1.137164,
"BEL","CPI","TOT","AGRWTH","M","2014-02",0.9730163,
"BEL","CPI","TOT","AGRWTH","M","2014-03",0.8915156,
"BEL","CPI","TOT","AGRWTH","M","2014-04",0.6213048,
"BEL","CPI","TOT","AGRWTH","M","2014-05",0.3602161,
"BEL","CPI","TOT","AGRWTH","M","2014-06",0.2697033,
"BEL","CPI","TOT","AGRWTH","M","2014-07",0.3392875,
"BEL","CPI","TOT","AGRWTH","M","2014-08",0.01997004,
"BEL","CPI","TOT","AGRWTH","M","2014-09",-0.1197485,
"BEL","CPI","TOT","AGRWTH","M","2014-10",0.08988315,
"BEL","CPI","TOT","AGRWTH","M","2014-11",-0.1097804,
"BEL","CPI","TOT","AGRWTH","M","2014-12",-0.3786369,
"BEL","CPI","TOT","AGRWTH","M","2015-01",-0.6467662,
"BEL","CPI","TOT","AGRWTH","M","2015-02",-0.3973773,
"BEL","CPI","TOT","AGRWTH","M","2015-03",-0.3971406,
"BEL","CPI","TOT","AGRWTH","M","2015-04",0.2888159,
"BEL","CPI","TOT","AGRWTH","M","2015-05",0.5583251,
"BEL","CPI","TOT","AGRWTH","M","2015-06",0.627615,
"BEL","CPI","TOT","AGRWTH","M","2015-07",0.4574838,
"BEL","CPI","TOT","AGRWTH","M","2015-08",0.9084556,
"BEL","CPI","TOT","AGRWTH","M","2015-09",1.059047,
"BEL","CPI","TOT","AGRWTH","M","2015-10",1.27719,
"BEL","CPI","TOT","AGRWTH","M","2015-11",1.518633,
"BEL","CPI","TOT","AGRWTH","M","2015-12",1.5003,
"BEL","CPI","TOT","AGRWTH","M","2016-01",1.742614,
"BEL","CPI","TOT","AGRWTH","M","2016-02",1.386395,
"BEL","CPI","TOT","AGRWTH","M","2016-03",2.242823,
"BEL","CPI","TOT","AGRWTH","M","2016-04",2.03575,
"BEL","CPI","TOT","AGRWTH","M","2016-05",2.201071,
"BEL","CPI","TOT","AGRWTH","M","2016-06",2.158202,
"BEL","CPI","TOT","AGRWTH","M","2016-07",2.277002,
"BEL","CPI","TOT","AGRWTH","M","2016-08",2.156708,
"BEL","CPI","TOT","AGRWTH","M","2016-09",1.868512,
"BEL","CPI","TOT","AGRWTH","M","2016-10",1.812808,
"BEL","CPI","TOT","AGRWTH","M","2016-11",1.771479,
"BEL","CPI","TOT","AGRWTH","M","2016-12",2.029957,
"BEL","CPI","TOT","AGRWTH","M","2017-01",2.647898,
"BEL","CPI","TOT","AGRWTH","M","2017-02",2.970979,
"BEL","CPI","TOT","AGRWTH","M","2017-03",2.281369,
"BEL","CPI","TOT","AGRWTH","M","2017-04",2.277372,
"BEL","CPI","TOT","AGRWTH","M","2017-05",1.862631,
"BEL","CPI","TOT","AGRWTH","M","2017-06",1.598992,
"BEL","CPI","TOT","AGRWTH","M","2017-07",1.781047,
"BEL","CPI","TOT","AGRWTH","M","2017-08",1.898121,
"BEL","CPI","TOT","AGRWTH","M","2017-09",2.008929,
"BEL","CPI","TOT","AGRWTH","M","2017-10",2.003097,
"BEL","CPI","TOT","AGRWTH","M","2017-11",2.069432,
"BEL","CPI","TOT","AGRWTH","M","2017-12",2.134441,
"BEL","CPI","TOT","AGRWTH","M","2018-01",1.706943,
"BEL","CPI","TOT","AGRWTH","M","2018-02",1.480845,
"BEL","CPI","TOT","AGRWTH","M","2018-03",1.391669,
"BEL","CPI","TOT","AGRWTH","M","2018-04",1.522505,
"BEL","CPI","TOT","AGRWTH","M","2018-05",1.819048,
"BEL","CPI","TOT","AGRWTH","M","2018-06",2.079359,
"BEL","CPI","TOT","AGRWTH","M","2018-07",2.168331,
"BEL","CPI","TOT","AGRWTH","M","2018-08",2.24292,
"BEL","CPI","TOT","AGRWTH","M","2018-09",2.349919,
"BEL","CPI","TOT","AGRWTH","M","2018-10",2.751162,
"BEL","CPI","TOT","AGRWTH","M","2018-11",2.775936,
"BEL","CPI","TOT","AGRWTH","M","2018-12",2.335697,
"BEL","CPI","TOT","AGRWTH","M","2019-01",1.98944,
"BEL","CPI","TOT","AGRWTH","M","2019-02",2.165317,
"BEL","CPI","TOT","AGRWTH","M","2019-03",2.331485,
"BEL","CPI","TOT","AGRWTH","M","2019-04",2.080795,
"BEL","CPI","TOT","AGRWTH","M","2019-05",1.88944,
"BEL","CPI","TOT","AGRWTH","M","2019-06",1.728649,
"BEL","CPI","TOT","AGRWTH","M","2019-07",1.424183,
"CAN","CPI","TOT","AGRWTH","M","2003-02",4.684318,
"CAN","CPI","TOT","AGRWTH","M","2003-03",4.246714,
"CAN","CPI","TOT","AGRWTH","M","2003-04",2.914573,
"CAN","CPI","TOT","AGRWTH","M","2003-05",2.808425,
"CAN","CPI","TOT","AGRWTH","M","2003-06",2.602603,
"CAN","CPI","TOT","AGRWTH","M","2003-07",2.089552,
"CAN","CPI","TOT","AGRWTH","M","2003-08",1.982161,
"CAN","CPI","TOT","AGRWTH","M","2003-09",2.180377,
"CAN","CPI","TOT","AGRWTH","M","2003-10",1.581028,
"CAN","CPI","TOT","AGRWTH","M","2003-11",1.576355,
"CAN","CPI","TOT","AGRWTH","M","2003-12",2.077151,
"CAN","CPI","TOT","AGRWTH","M","2004-01",1.27451,
"CAN","CPI","TOT","AGRWTH","M","2004-02",0.6809338,
"CAN","CPI","TOT","AGRWTH","M","2004-03",0.7759457,
"CAN","CPI","TOT","AGRWTH","M","2004-04",1.660156,
"CAN","CPI","TOT","AGRWTH","M","2004-05",2.439024,
"CAN","CPI","TOT","AGRWTH","M","2004-06",2.536585,
"CAN","CPI","TOT","AGRWTH","M","2004-07",2.339181,
"CAN","CPI","TOT","AGRWTH","M","2004-08",1.846453,
"CAN","CPI","TOT","AGRWTH","M","2004-09",1.842871,
"CAN","CPI","TOT","AGRWTH","M","2004-10",2.33463,
"CAN","CPI","TOT","AGRWTH","M","2004-11",2.42483,
"CAN","CPI","TOT","AGRWTH","M","2004-12",2.131783,
